Group Product - Employer Employee,,,,,,,Comments,
Features,Type,Details,,,,,,
Policy Type,Boundary Conditions,Floater / Non-Floater,,,,,,
Relations Covered,Boundary Conditions,"Self, Spouse, Son, Daughter-in-law, Daughter, Son-in-law, Father, mother, father-in-law, mother-in-law, grandfather, grandmother, grandson, granddaughter, brother, sister, sister-in-law, brother-in-law, nephew, niece, Partner (live-in partner/same & opposite sex partner)",LGBTQ (Under General/Special condition),,,,,
Family Floater Size,Boundary Conditions,ESCP and all TCS Combinations,"Employee,Spouse,Children,Parents",,,,,
Entry and Maximum Age,Boundary Conditions,"Entry Age: 0 Years
Exit Age: Lifelong",Minimum 1 day; No maximum age limit (specific limits for certain covers).,,,,,
Tenure,Boundary Conditions,Tenure :1/2/3/4/5 years,Tenure :1/2/3/4/5 years,,,,,
Premium Payment Terms,Boundary Conditions,"1/2/3/4/5 Years (In Multi -tenure Policies , premium collection tenure will be less than or equal to policy tenure","1/2/3/4/5 Years (In Multi -tenure Policies , premium collection tenure will be less than or equal to policy tenure",,,,,
Premium Payment Mode,Boundary Conditions,Monthly/Quarterly/Half Yearly/Yearly/Single/Modular,Monthly/Quarterly/Half Yearly/Yearly/Single/Modular,,,,,
Sum Insured,Boundary Conditions,"Rs 10,000 to Rs 300 Lacs",Sum Insured Options Available under the product,,,,,
Geography,Boundary Conditions,India Only,India Only,,,,,
PART 1- BASE COVERS,,,,,,,,
Sl No,Cover,Cover Description,Minimum Sum Insured(In Rs)/Limits,Maximum Sum Insured (In Rs)/Limits,Additional Details,Logic,,
1,In-Patient Hospitalization Expenses,Hospitalization covered up to Sum Insured,10000,300 Lacs,,Base SI,,
2,Room Rent,"Limit cover towards Room Rent by selecting
a)Percentage of Sum Insured
b)Room rent amount
c)Room type","a)0.5%
b) 500 Per Day
c)Room Type as below:
1.Ward
2.Up to shared Room
3.Up to single private room
4.Up to deluxe room
5.Upto any room other than Suite","a)100%
b)20,000 Per Day
c)Any Room/ No Room Type Cap","Limit options available:
a) Per day room rent as a percentage limit of sum insured : 2%-10%
In case of ICU the limit will be two times Room rent
b)Room type limit
1.Ward
2.Up to shared Room
3.Up to single private room
4.Up to deluxe room
5.Upto any room other than Suite
6.No Room type cap
ICU Limits with respect to room rent :
1. x times the room rent
2. No cap
(Where x can be any number or fraction max up to 10)",Part Of Base SI,,
3,Nursing and RMO Charges,Nursing Charges- Part of room rent,Covered,Covered,"Option to choose from below:
a)Part of room rent
b)Over and above room rent",Part Of Base SI,,
4,In-Patient Hospitalization Expenses For AYUSH,Covers in patient hospitalization expenses towards AYUSH treatment,10000 Up to In-Patient SI,300 Lacs Up to In-Patient SI,"Sum Insured Options available under the product- in multiples of 1,000",Part Of Base SI,"No Change in PAS, only PBT languagge",
5,Pre-Hospitalization Medical Expenses,Medical expenses covered up to number of days before date of hospitalization,0 Days,180 Days,"Options to be offered:
0,15,30,45,60,90,120,150,180",Part Of Base SI,,
6,Post-Hospitalization Medical Expenses,Medical expenses covered up to number of days after date of hospitalization,0 Days,180 Days,"Options to be offered:
0,15,30,45,60,90,120,150,180",Part Of Base SI,,
7,Day Care Procedures Cover,All 546 Day care covered up to Sum Insured. Options to select,10000 Up to In-Patient SI,300 Lacs Up to In-Patient SI,"Sum Insured Options available under the product- in multiples of 1,000",Part Of Base SI,"No Change in PAS, only PBT languagge",
